committee	industry	donations
HEDU	F07	2540142
HEDU	F09	1898748
HEDU	F10	2103418
HEDU	F11	460176
HEDU	N00	182239
HEDU	A09	362785
HEDU	N01	614417
HEDU	N02	445357
HEDU	N03	764562
HEDU	N04	140005
HEDU	N05	572004
HEDU	N06	218133
HEDU	N07	617025
HEDU	H01	2217557
HEDU	H02	406055
HEDU	H03	440607
HEDU	H04	828316
HEDU	W04	761601
HEDU	Q01	936064
HEDU	Q02	166699
HEDU	Q03	2386373
HEDU	Q04	174599
HEDU	Q05	443753
HEDU	Q13	212393
HEDU	Q09	130741
HEDU	Q14	21540
HEDU	Q15	23355
HEDU	Q08	101003
HEDU	Q11	109202
HEDU	K01	1750800
HEDU	K02	881064
HEDU	P05	251250
HEDU	P04	717650
HEDU	P01	567000
HEDU	P02	546425
HEDU	P03	546000
HEDU	N15	760667
HEDU	N13	230215
HEDU	N14	120050
HEDU	M01	571876
HEDU	M02	686392
HEDU	M03	212390
HEDU	M04	364774
HEDU	M05	192950
HEDU	N08	290448
HEDU	W06	3250261
HEDU	W03	150618
HEDU	W02	230417
HEDU	W05	27445
HEDU	Q16	520633
HEDU	Q12	290
HEDU	N16	26200
HENE	A01	879596
HENE	A02	201311
HENE	A04	161050
HENE	A05	100350
HENE	A06	234116
HENE	A07	642208
HENE	A10	434052
HENE	C01	532176
HENE	C02	307873
HENE	C03	304793
HENE	C04	532096
HENE	C05	611036
HENE	B01	142791
HENE	B02	1446000
HENE	B09	2520730
HENE	B08	1235595
HENE	B12	1013538
HENE	B13	625203
HENE	D03	132630
HENE	D01	884776
HENE	D02	241619
HENE	E01	3652215
HENE	E04	384000
HENE	E08	2978563
HENE	E10	23621
HENE	F13	785370
HENE	F03	892689
HENE	F04	27075
HENE	F05	227376
HENE	F06	279225
HENE	F07	1896231
HENE	F09	2414118
HENE	F10	2560406
HENE	F11	848649
HENE	N00	148350
HENE	A09	620020
HENE	N01	683910
HENE	N02	841443
HENE	N03	1289535
HENE	N04	173014
HENE	N05	672352
HENE	N06	389400
HENE	N07	479370
HENE	H01	6466799
HENE	H02	1083604
HENE	H03	1748396
HENE	H04	4891598
HENE	W04	586142
HENE	Q01	370488
HENE	Q02	316380
HENE	Q03	1233858
HENE	Q04	67750
HENE	Q05	623989
HENE	Q13	239790
HENE	Q09	221541
HENE	Q14	24300
HENE	Q15	72714
HENE	Q08	33825
HENE	Q11	174154
HENE	K01	3239056
HENE	K02	1900230
HENE	P05	251751
HENE	P04	888800
HENE	P01	1070650
HENE	P02	815110
HENE	P03	770250
HENE	N15	955654
HENE	N13	1215300
HENE	N14	133825
HENE	M01	640864
HENE	M02	1535834
HENE	M03	112884
HENE	M04	632344
HENE	M05	222451
HENE	N08	355240
HENE	W06	2701375
HENE	W03	190775
HENE	W02	231443
HENE	W05	29985
HENE	Q16	304036
HENE	Q12	1290
HENE	N16	45333
HFIN	A01	906033
HFIN	A02	113375
HFIN	A04	171374
HFIN	A05	105000
HFIN	A06	358966
HFIN	A07	632488
HFIN	A10	245994
HFIN	C01	746614
HFIN	C02	598374
HFIN	C03	427962
HFIN	C04	513956
HFIN	C05	609595
HFIN	B01	277784
HFIN	B02	463749
HFIN	B09	591202
HFIN	B08	420035
HFIN	B12	649630
HFIN	B13	264204
HFIN	D03	121607
HFIN	D01	821678
HFIN	D02	300224
HFIN	E01	1663259
HFIN	E04	329553
HFIN	E08	1159538
HFIN	E10	42555
HFIN	F13	2026921
HFIN	F03	4592442
HFIN	F04	90400
HFIN	F05	658353
HFIN	F06	2294592
HFIN	F07	8547313
HFIN	F09	7910210
HFIN	F10	6333014
HFIN	F11	2368953
HFIN	N00	126964
HFIN	A09	398009
HFIN	N01	804323
HFIN	N02	847892
HFIN	N03	1345836
HFIN	N04	307005
HFIN	N05	1101234
HFIN	N06	170927
HFIN	N07	580823
HFIN	H01	2702123
HFIN	H02	907117
HFIN	H03	587582
HFIN	H04	1381497
HFIN	W04	1099575
HFIN	Q01	1754704
HFIN	Q02	1202974
HFIN	Q03	3231909
HFIN	Q04	138490
HFIN	Q05	1188267
HFIN	Q13	358714
HFIN	Q09	430800
HFIN	Q14	65783
HFIN	Q15	88887
HFIN	Q08	102284
HFIN	Q11	146641
HFIN	K01	4542404
HFIN	K02	1620148
HFIN	P05	361247
HFIN	P04	946338
HFIN	P01	1060654
HFIN	P02	757256
HFIN	P03	742150
HFIN	N15	1382130
HFIN	N13	276400
HFIN	N14	156505
HFIN	M01	596140
HFIN	M02	1293178
HFIN	M03	124816
HFIN	M04	444276
HFIN	M05	61173
HFIN	N08	300305
HFIN	W06	5965115
HFIN	W03	415237
HFIN	W02	341850
HFIN	W05	46869
HFIN	Q16	893211
HFIN	Q12	18309
HFIN	N16	87310
HGOV	A01	596716
HGOV	A02	77268
HGOV	A04	58350
HGOV	A05	46625
HGOV	A06	220334
HGOV	A07	234896
HGOV	A10	146997
HGOV	C01	668884
HGOV	C02	270996
HGOV	C03	261645
HGOV	C04	507987
HGOV	C05	359985
HGOV	B01	284204
HGOV	B02	508292
HGOV	B09	555614
HGOV	B08	349726
HGOV	B12	673158
HGOV	B13	375987
HGOV	D03	208179
HGOV	D01	554720
HGOV	D02	281558
HGOV	E01	1106420
HGOV	E04	122325
HGOV	E08	724276
HGOV	E10	30181
HGOV	F13	795120
HGOV	F03	884500
HGOV	F04	20160
HGOV	F05	192449
HGOV	F06	347189
HGOV	F07	2071035
HGOV	F09	1559365
HGOV	F10	2401372
HGOV	F11	600057
HGOV	N00	93155
HGOV	A09	346511
HGOV	N01	455376
HGOV	N02	578473
HGOV	N03	833328
HGOV	N04	127240
HGOV	N05	727257
HGOV	N06	151126
HGOV	N07	326506
HGOV	H01	1978715
HGOV	H02	535642
HGOV	H03	408060
HGOV	H04	995730
HGOV	W04	585424
HGOV	Q01	1367024
HGOV	Q02	958521
HGOV	Q03	2317168
HGOV	Q04	114700
HGOV	Q05	843107
HGOV	Q13	231821
HGOV	Q09	382129
HGOV	Q14	29349
HGOV	Q15	104914
HGOV	Q08	1279388
HGOV	Q11	340117
HGOV	K01	3386374
HGOV	K02	792161
HGOV	P05	331136
HGOV	P04	1220303
HGOV	P01	876580
HGOV	P02	642007
HGOV	P03	641938
HGOV	N15	909176
HGOV	N13	207161
HGOV	N14	113071
HGOV	M01	612032
HGOV	M02	802923
HGOV	M03	242970
HGOV	M04	469565
HGOV	M05	72660
HGOV	N08	241193
HGOV	W06	4263264
HGOV	W03	305457
HGOV	W02	223941
HGOV	W05	37276
HGOV	Q16	560773
HGOV	Q12	0
HGOV	N16	44838
HHSC	A01	616704
HHSC	A02	103676
HHSC	A04	30473
HHSC	A05	53900
HHSC	A06	223003
HHSC	A07	262345
HHSC	A10	166062
HHSC	C01	464491
HHSC	C02	196733
HHSC	C03	183802
HHSC	C04	414803
HHSC	C05	286700
HHSC	B01	96715
HHSC	B02	274831
HHSC	B09	427100
HHSC	B08	333531
HHSC	B12	518832
HHSC	B13	170700
HHSC	D03	334703
HHSC	D01	641980
HHSC	D02	409345
HHSC	E01	1123040
HHSC	E04	38550
HHSC	E08	722067
HHSC	E10	31814
HHSC	F13	425800
HHSC	F03	643754
HHSC	F04	8150
HHSC	F05	137809
HHSC	F06	165700
HHSC	F07	1133833
HHSC	F09	1004783
HHSC	F10	1627635
HHSC	F11	526893
HHSC	N00	100775
HHSC	A09	154582
HHSC	N01	262179
HHSC	N02	453011
HHSC	N03	501922
HHSC	N04	136510
HHSC	N05	451317
HHSC	N06	81452
HHSC	N07	150050
HHSC	H01	1270088
HHSC	H02	378838
HHSC	H03	278345
HHSC	H04	537991
HHSC	W04	274985
HHSC	Q01	862998
HHSC	Q02	200226
HHSC	Q03	1634074
HHSC	Q04	54400
HHSC	Q05	366568
HHSC	Q13	231828
HHSC	Q09	143876
HHSC	Q14	6250
HHSC	Q15	18250
HHSC	Q08	90064
HHSC	Q11	45479
HHSC	K01	1863520
HHSC	K02	625686
HHSC	P05	262950
HHSC	P04	496400
HHSC	P01	621600
HHSC	P02	408575
HHSC	P03	665450
HHSC	N15	523818
HHSC	N13	193680
HHSC	N14	48275
HHSC	M01	630010
HHSC	M02	653380
HHSC	M03	176728
HHSC	M04	368525
HHSC	M05	94900
HHSC	N08	156627
HHSC	W06	2495427
HHSC	W03	162147
HHSC	W02	102526
HHSC	W05	15894
HHSC	Q16	501212
HHSC	Q12	0
HHSC	N16	26250
HINT	A01	600838
HINT	A02	54479
HINT	A04	103016
HINT	A05	16705
HINT	A06	106878
HINT	A07	248719
HINT	A10	92573
HINT	C01	559224
HINT	C02	226232
HINT	C03	284806
HINT	C04	469898
HINT	C05	312458
HINT	B01	212745
HINT	B02	653236
HINT	B09	520964
HINT	B08	371931
HINT	B12	837134
HINT	B13	300332
HINT	D03	278605
HINT	D01	692776
HINT	D02	352011
HINT	E01	790264
HINT	E04	26270
HINT	E08	639926
HINT	E10	76867
HINT	F13	851381
HINT	F03	742106
HINT	F04	14665
HINT	F05	265472
HINT	F06	333643
HINT	F07	2604724
HINT	F09	1540288
HINT	F10	3122849
HINT	F11	730733
HINT	N00	88730
HINT	A09	297712
HINT	N01	356008
HINT	N02	528227
HINT	N03	593652
HINT	N04	147339
HINT	N05	669933
HINT	N06	195956
HINT	N07	270383
HINT	H01	1944398
HINT	H02	515805
HINT	H03	379954
HINT	H04	776859
HINT	W04	592261
HINT	Q01	1275324
HINT	Q02	1268358
HINT	Q03	1532126
HINT	Q04	199615
HINT	Q05	1517628
HINT	Q13	209196
HINT	Q09	455306
HINT	Q14	42335
HINT	Q15	54420
HINT	Q08	6800
HINT	Q11	132985
HINT	K01	2804179
HINT	K02	707742
HINT	P05	280845
HINT	P04	832281
HINT	P01	915580
HINT	P02	555600
HINT	P03	761755
HINT	N15	896243
HINT	N13	217470
HINT	N14	39400
HINT	M01	583357
HINT	M02	711143
HINT	M03	149102
HINT	M04	331754
HINT	M05	173060
HINT	N08	289052
HINT	W06	4144053
HINT	W03	318559
HINT	W02	279358
HINT	W05	28169
HINT	Q16	395105
HINT	Q12	0
HINT	N16	37005
HJUD	A01	425828
HJUD	A02	76080
HJUD	A04	79400
HJUD	A05	55450
HJUD	A06	177760
HJUD	A07	273696
HJUD	A10	112267
HJUD	C01	487775
HJUD	C02	243265
HJUD	C03	162078
HJUD	C04	387111
HJUD	C05	193315
HJUD	B01	234341
HJUD	B02	1196898
HJUD	B09	939004
HJUD	B08	409410
HJUD	B12	1236581
HJUD	B13	620805
HJUD	D03	246505
HJUD	D01	449994
HJUD	D02	242570
HJUD	E01	918845
HJUD	E04	39500
HJUD	E08	609549
HJUD	E10	47980
HJUD	F13	681001
HJUD	F03	546121
HJUD	F04	18550
HJUD	F05	144336
HJUD	F06	219830
HJUD	F07	1509761
HJUD	F09	996403
HJUD	F10	2103745
HJUD	F11	674271
HJUD	N00	133000
HJUD	A09	238433
HJUD	N01	324978
HJUD	N02	528790
HJUD	N03	751612
HJUD	N04	80445
HJUD	N05	572981
HJUD	N06	301964
HJUD	N07	254950
HJUD	H01	1161057
HJUD	H02	282232
HJUD	H03	258643
HJUD	H04	872737
HJUD	W04	319717
HJUD	Q01	1151676
HJUD	Q02	399681
HJUD	Q03	1310752
HJUD	Q04	64465
HJUD	Q05	459119
HJUD	Q13	215532
HJUD	Q09	203285
HJUD	Q14	34864
HJUD	Q15	74308
HJUD	Q08	14854
HJUD	Q11	118100
HJUD	K01	2556620
HJUD	K02	807758
HJUD	P05	335350
HJUD	P04	476550
HJUD	P01	492000
HJUD	P02	418525
HJUD	P03	462250
HJUD	N15	752455
HJUD	N13	222635
HJUD	N14	31840
HJUD	M01	441769
HJUD	M02	727475
HJUD	M03	106640
HJUD	M04	406549
HJUD	M05	91880
HJUD	N08	296984
HJUD	W06	3059532
HJUD	W03	170714
HJUD	W02	172790
HJUD	W05	22395
HJUD	Q16	381612
HJUD	Q12	0
HJUD	N16	42475
HRES	A01	1213237
HRES	A02	59946
HRES	A04	212342
HRES	A05	97435
HRES	A06	280052
HRES	A07	443999
HRES	A10	472299
HRES	C01	556868
HRES	C02	252240
HRES	C03	198549
HRES	C04	459762
HRES	C05	372310
HRES	B01	77627
HRES	B02	186075
HRES	B09	364005
HRES	B08	326395
HRES	B12	306806
HRES	B13	89436
HRES	D03	296200
HRES	D01	651391
HRES	D02	427825
HRES	E01	1689415
HRES	E04	280076
HRES	E08	686416
HRES	E10	34554
HRES	F13	361134
HRES	F03	430644
HRES	F04	7750
HRES	F05	140250
HRES	F06	91913
HRES	F07	643186
HRES	F09	896862
HRES	F10	1578447
HRES	F11	288498
HRES	N00	71350
HRES	A09	282841
HRES	N01	471139
HRES	N02	477616
HRES	N03	402421
HRES	N04	74988
HRES	N05	413677
HRES	N06	68475
HRES	N07	992325
HRES	H01	1772825
HRES	H02	484491
HRES	H03	288994
HRES	H04	433416
HRES	W04	288541
HRES	Q01	1454605
HRES	Q02	289873
HRES	Q03	2248078
HRES	Q04	62850
HRES	Q05	315425
HRES	Q13	229516
HRES	Q09	277803
HRES	Q14	34000
HRES	Q15	35760
HRES	Q08	59140
HRES	Q11	206517
HRES	K01	1882334
HRES	K02	664613
HRES	P05	220000
HRES	P04	693307
HRES	P01	624475
HRES	P02	431000
HRES	P03	795500
HRES	N15	298270
HRES	N13	196900
HRES	N14	48850
HRES	M01	447917
HRES	M02	663824
HRES	M03	247901
HRES	M04	457998
HRES	M05	295567
HRES	N08	172076
HRES	W06	2782248
HRES	W03	165980
HRES	W02	126414
HRES	W05	17227
HRES	Q16	594934
HRES	Q12	0
HRES	N16	15750
HRUL	A01	143750
HRUL	A02	61148
HRUL	A04	23500
HRUL	A05	24000
HRUL	A06	76250
HRUL	A07	75958
HRUL	A10	14400
HRUL	C01	123575
HRUL	C02	68000
HRUL	C03	63753
HRUL	C04	71330
HRUL	C05	140450
HRUL	B01	46450
HRUL	B02	88575
HRUL	B09	156920
HRUL	B08	121050
HRUL	B12	221383
HRUL	B13	69700
HRUL	D03	30500
HRUL	D01	175600
HRUL	D02	124025
HRUL	E01	403060
HRUL	E04	40475
HRUL	E08	239650
HRUL	E10	2500
HRUL	F13	268775
HRUL	F03	458165
HRUL	F04	5400
HRUL	F05	74800
HRUL	F06	264650
HRUL	F07	593275
HRUL	F09	674004
HRUL	F10	632520
HRUL	F11	197452
HRUL	N00	46400
HRUL	A09	90958
HRUL	N01	168625
HRUL	N02	150079
HRUL	N03	296493
HRUL	N04	58775
HRUL	N05	156086
HRUL	N06	61386
HRUL	N07	220500
HRUL	H01	1062578
HRUL	H02	182056
HRUL	H03	171550
HRUL	H04	369328
HRUL	W04	299502
HRUL	Q01	107010
HRUL	Q02	67771
HRUL	Q03	336782
HRUL	Q04	20000
HRUL	Q05	115293
HRUL	Q13	30000
HRUL	Q09	84187
HRUL	Q14	6140
HRUL	Q15	13438
HRUL	Q08	45114
HRUL	Q11	35135
HRUL	K01	691925
HRUL	K02	322916
HRUL	P05	67000
HRUL	P04	137000
HRUL	P01	142200
HRUL	P02	121050
HRUL	P03	181500
HRUL	N15	225688
HRUL	N13	67050
HRUL	N14	25150
HRUL	M01	194786
HRUL	M02	235150
HRUL	M03	43650
HRUL	M04	168850
HRUL	M05	7500
HRUL	N08	83400
HRUL	W06	550857
HRUL	W03	57905
HRUL	W02	78680
HRUL	W05	3750
HRUL	Q16	84330
HRUL	Q12	0
HRUL	N16	13500
HSCI	A01	613264
HSCI	A02	68229
HSCI	A04	133017
HSCI	A05	74705
HSCI	A06	177958
HSCI	A07	413164
HSCI	A10	245620
HSCI	C01	452500
HSCI	C02	216638
HSCI	C03	162884
HSCI	C04	501251
HSCI	C05	324268
HSCI	B01	162745
HSCI	B02	380593
HSCI	B09	413891
HSCI	B08	293654
HSCI	B12	905469
HSCI	B13	309444
HSCI	D03	285492
HSCI	D01	709055
HSCI	D02	414006
HSCI	E01	1034367
HSCI	E04	71570
HSCI	E08	630829
HSCI	E10	13773
HSCI	F13	481608
HSCI	F03	735093
HSCI	F04	17273
HSCI	F05	170752
HSCI	F06	236021
HSCI	F07	1493403
HSCI	F09	1250223
HSCI	F10	1810176
HSCI	F11	608779
HSCI	N00	78069
HSCI	A09	235433
HSCI	N01	290049
HSCI	N02	495718
HSCI	N03	426390
HSCI	N04	174722
HSCI	N05	588061
HSCI	N06	132189
HSCI	N07	152423
HSCI	H01	1744124
HSCI	H02	314816
HSCI	H03	291198
HSCI	H04	628627
HSCI	W04	554327
HSCI	Q01	411941
HSCI	Q02	1325748
HSCI	Q03	1781483
HSCI	Q04	48520
HSCI	Q05	365802
HSCI	Q13	140367
HSCI	Q09	400045
HSCI	Q14	23300
HSCI	Q15	59625
HSCI	Q08	626220
HSCI	Q11	162635
HSCI	K01	2079330
HSCI	K02	768443
HSCI	P05	157770
HSCI	P04	437563
HSCI	P01	406580
HSCI	P02	292165
HSCI	P03	550790
HSCI	N15	632728
HSCI	N13	301549
HSCI	N14	79261
HSCI	M01	685259
HSCI	M02	655093
HSCI	M03	113961
HSCI	M04	436440
HSCI	M05	109475
HSCI	N08	223585
HSCI	W06	2600084
HSCI	W03	240662
HSCI	W02	321753
HSCI	W05	23987
HSCI	Q16	481380
HSCI	Q12	6340
HSCI	N16	12041
HSMA	A01	402879
HSMA	A02	54480
HSMA	A04	50173
HSMA	A05	27000
HSMA	A06	160775
HSMA	A07	205991
HSMA	A10	73925
HSMA	C01	399697
HSMA	C02	124382
HSMA	C03	164233
HSMA	C04	192348
HSMA	C05	271595
HSMA	B01	28125
HSMA	B02	127250
HSMA	B09	248650
HSMA	B08	175200
HSMA	B12	217242
HSMA	B13	87650
HSMA	D03	47650
HSMA	D01	158175
HSMA	D02	98025
HSMA	E01	586546
HSMA	E04	60200
HSMA	E08	397024
HSMA	E10	14575
HSMA	F13	310245
HSMA	F03	612675
HSMA	F04	12350
HSMA	F05	73500
HSMA	F06	236950
HSMA	F07	859765
HSMA	F09	1052628
HSMA	F10	1129465
HSMA	F11	319872
HSMA	N00	123550
HSMA	A09	142400
HSMA	N01	283253
HSMA	N02	216022
HSMA	N03	247137
HSMA	N04	61660
HSMA	N05	214361
HSMA	N06	71300
HSMA	N07	168834
HSMA	H01	608094
