committee	industry	donations
SIND	W02	164339
SIND	W05	7936
SIND	Q16	41730
SIND	Q12	0
SIND	N16	9008
SJUD	A01	1030780
SJUD	A02	56613
SJUD	A04	173106
SJUD	A05	51400
SJUD	A06	446436
SJUD	A07	554048
SJUD	A10	136316
SJUD	C01	1173561
SJUD	C02	212432
SJUD	C03	603175
SJUD	C04	842174
SJUD	C05	351238
SJUD	B01	558758
SJUD	B02	1467680
SJUD	B09	746254
SJUD	B08	257519
SJUD	B12	1583507
SJUD	B13	625712
SJUD	D03	194977
SJUD	D01	585169
SJUD	D02	227677
SJUD	E01	1797471
SJUD	E04	299240
SJUD	E08	643628
SJUD	E10	36711
SJUD	F13	1872645
SJUD	F03	1038086
SJUD	F04	28666
SJUD	F05	69636
SJUD	F06	390172
SJUD	F07	5675661
SJUD	F09	1931877
SJUD	F10	5086262
SJUD	F11	898876
SJUD	N00	64449
SJUD	A09	394699
SJUD	N01	539424
SJUD	N02	528993
SJUD	N03	849883
SJUD	N04	386556
SJUD	N05	1625714
SJUD	N06	434343
SJUD	N07	264885
SJUD	H01	3153536
SJUD	H02	1210733
SJUD	H03	783669
SJUD	H04	1501216
SJUD	W04	1339562
SJUD	Q01	4326714
SJUD	Q02	212514
SJUD	Q03	1451679
SJUD	Q04	187900
SJUD	Q05	1360250
SJUD	Q13	421584
SJUD	Q09	152214
SJUD	Q14	52129
SJUD	Q15	94446
SJUD	Q08	76317
SJUD	Q11	295691
SJUD	K01	6707005
SJUD	K02	1497647
SJUD	P05	80964
SJUD	P04	275085
SJUD	P01	135391
SJUD	P02	133619
SJUD	P03	158237
SJUD	N15	1264203
SJUD	N13	391649
SJUD	N14	155991
SJUD	M01	632525
SJUD	M02	619867
SJUD	M03	339353
SJUD	M04	221039
SJUD	M05	99658
SJUD	N08	555767
SJUD	W06	17132398
SJUD	W03	911566
SJUD	W02	520560
SJUD	W05	266566
SJUD	Q16	39000
SJUD	Q12	21244
SJUD	N16	109937
SLAB	A01	1096642
SLAB	A02	292290
SLAB	A04	186042
SLAB	A05	97593
SLAB	A06	206516
SLAB	A07	594067
SLAB	A10	379310
SLAB	C01	949321
SLAB	C02	304543
SLAB	C03	700449
SLAB	C04	1294637
SLAB	C05	510857
SLAB	B01	1625501
SLAB	B02	2440720
SLAB	B09	632028
SLAB	B08	414250
SLAB	B12	3289212
SLAB	B13	1342992
SLAB	D03	238363
SLAB	D01	727356
SLAB	D02	287648
SLAB	E01	1909845
SLAB	E04	352354
SLAB	E08	1481012
SLAB	E10	68809
SLAB	F13	1893757
SLAB	F03	1418410
SLAB	F04	54359
SLAB	F05	130080
SLAB	F06	415649
SLAB	F07	5506350
SLAB	F09	2894271
SLAB	F10	4579937
SLAB	F11	927585
SLAB	N00	142522
SLAB	A09	743877
SLAB	N01	1154368
SLAB	N02	564501
SLAB	N03	1640336
SLAB	N04	831786
SLAB	N05	2926696
SLAB	N06	358944
SLAB	N07	336832
SLAB	H01	5446382
SLAB	H02	2533576
SLAB	H03	1363517
SLAB	H04	2656984
SLAB	W04	7898412
SLAB	Q01	1073805
SLAB	Q02	22524702
SLAB	Q03	2808106
SLAB	Q04	102261
SLAB	Q05	1165447
SLAB	Q13	267864
SLAB	Q09	516641
SLAB	Q14	16811
SLAB	Q15	179442
SLAB	Q08	811455
SLAB	Q11	793987
SLAB	K01	7218930
SLAB	K02	1967138
SLAB	P05	131925
SLAB	P04	241802
SLAB	P01	208555
SLAB	P02	173788
SLAB	P03	179136
SLAB	N15	1497329
SLAB	N13	529459
SLAB	N14	162154
SLAB	M01	1017981
SLAB	M02	952396
SLAB	M03	258473
SLAB	M04	343817
SLAB	M05	360408
SLAB	N08	498953
SLAB	W06	11044014
SLAB	W03	2796438
SLAB	W02	931000
SLAB	W05	239353
SLAB	Q16	106324
SLAB	Q12	114625
SLAB	N16	74664
SRUL	A01	1063051
SRUL	A02	98388
SRUL	A04	196931
SRUL	A05	106450
SRUL	A06	479393
SRUL	A07	603343
SRUL	A10	254840
SRUL	C01	1148737
SRUL	C02	213432
SRUL	C03	586263
SRUL	C04	803323
SRUL	C05	406769
SRUL	B01	486773
SRUL	B02	1165357
SRUL	B09	605843
SRUL	B08	280631
SRUL	B12	1379888
SRUL	B13	517747
SRUL	D03	251174
SRUL	D01	666118
SRUL	D02	320102
SRUL	E01	2017086
SRUL	E04	333940
SRUL	E08	682055
SRUL	E10	26861
SRUL	F13	1637759
SRUL	F03	1484238
SRUL	F04	23906
SRUL	F05	89882
SRUL	F06	624629
SRUL	F07	4818458
SRUL	F09	2102265
SRUL	F10	4538239
SRUL	F11	924270
SRUL	N00	72674
SRUL	A09	507771
SRUL	N01	631750
SRUL	N02	497272
SRUL	N03	891698
SRUL	N04	373056
SRUL	N05	1465320
SRUL	N06	253513
SRUL	N07	250380
SRUL	H01	2994340
SRUL	H02	1213315
SRUL	H03	692716
SRUL	H04	1316201
SRUL	W04	1169034
SRUL	Q01	3613749
SRUL	Q02	193614
SRUL	Q03	1393114
SRUL	Q04	160800
SRUL	Q05	1052663
SRUL	Q13	410239
SRUL	Q09	236349
SRUL	Q14	36354
SRUL	Q15	40008
SRUL	Q08	68817
SRUL	Q11	173364
SRUL	K01	5011645
SRUL	K02	1490382
SRUL	P05	35734
SRUL	P04	209475
SRUL	P01	118941
SRUL	P02	103389
SRUL	P03	161977
SRUL	N15	1217834
SRUL	N13	407314
SRUL	N14	158491
SRUL	M01	726211
SRUL	M02	703931
SRUL	M03	329018
SRUL	M04	334162
SRUL	M05	204123
SRUL	N08	448401
SRUL	W06	15802201
SRUL	W03	928633
SRUL	W02	436019
SRUL	W05	274464
SRUL	Q16	53289
SRUL	Q12	2566
SRUL	N16	52854
SSMA	A01	674888
SSMA	A02	131251
SSMA	A04	61472
SSMA	A05	50700
SSMA	A06	191561
SSMA	A07	334360
SSMA	A10	164410
SSMA	C01	857675
SSMA	C02	222014
SSMA	C03	413984
SSMA	C04	487603
SSMA	C05	530699
SSMA	B01	365411
SSMA	B02	526630
SSMA	B09	480719
SSMA	B08	236686
SSMA	B12	978514
SSMA	B13	347255
SSMA	D03	177575
SSMA	D01	276983
SSMA	D02	263045
SSMA	E01	1557906
SSMA	E04	219752
SSMA	E08	633333
SSMA	E10	52429
SSMA	F13	1861019
SSMA	F03	998915
SSMA	F04	24141
SSMA	F05	72027
SSMA	F06	310197
SSMA	F07	5750503
SSMA	F09	2024851
SSMA	F10	4413926
SSMA	F11	566330
SSMA	N00	113933
SSMA	A09	434050
SSMA	N01	704695
SSMA	N02	384840
SSMA	N03	745270
SSMA	N04	278711
SSMA	N05	1490129
SSMA	N06	279698
SSMA	N07	197149
SSMA	H01	2375082
SSMA	H02	693854
SSMA	H03	469300
SSMA	H04	1047106
SSMA	W04	890344
SSMA	Q01	2621668
SSMA	Q02	72081
SSMA	Q03	1618727
SSMA	Q04	239119
SSMA	Q05	893723
SSMA	Q13	382541
SSMA	Q09	106015
SSMA	Q14	60151
SSMA	Q15	-1580
SSMA	Q08	45752
SSMA	Q11	46402
SSMA	K01	3843240
SSMA	K02	1292139
SSMA	P05	8100
SSMA	P04	57431
SSMA	P01	32500
SSMA	P02	16590
SSMA	P03	96814
SSMA	N15	1163382
SSMA	N13	323440
SSMA	N14	81767
SSMA	M01	576781
SSMA	M02	825418
SSMA	M03	258972
SSMA	M04	367384
SSMA	M05	292987
SSMA	N08	341490
SSMA	W06	13038026
SSMA	W03	425804
SSMA	W02	316891
SSMA	W05	92703
SSMA	Q16	107149
SSMA	Q12	3950
SSMA	N16	42350
SVET	A01	821203
SVET	A02	83387
SVET	A04	91025
SVET	A05	97893
SVET	A06	151223
SVET	A07	520294
SVET	A10	280113
SVET	C01	693103
SVET	C02	169973
SVET	C03	542931
SVET	C04	976517
SVET	C05	250003
SVET	B01	1297855
SVET	B02	1982385
SVET	B09	645361
SVET	B08	373399
SVET	B12	2734527
SVET	B13	1150282
SVET	D03	179747
SVET	D01	563642
SVET	D02	284570
SVET	E01	750231
SVET	E04	50164
SVET	E08	613983
SVET	E10	34557
SVET	F13	980500
SVET	F03	1220641
SVET	F04	25545
SVET	F05	113557
SVET	F06	289928
SVET	F07	2401487
SVET	F09	1932895
SVET	F10	2772134
SVET	F11	601021
SVET	N00	85449
SVET	A09	531774
SVET	N01	818793
SVET	N02	344461
SVET	N03	1190214
SVET	N04	691063
SVET	N05	2121173
SVET	N06	131479
SVET	N07	439147
SVET	H01	3892111
SVET	H02	1937259
SVET	H03	759728
SVET	H04	1317271
SVET	W04	7085717
SVET	Q01	79605
SVET	Q02	21430018
SVET	Q03	1602550
SVET	Q04	97911
SVET	Q05	525930
SVET	Q13	97644
SVET	Q09	421270
SVET	Q14	2741
SVET	Q15	163218
SVET	Q08	801048
SVET	Q11	305554
SVET	K01	4952007
SVET	K02	1288221
SVET	P05	143648
SVET	P04	255602
SVET	P01	121805
SVET	P02	164233
SVET	P03	247665
SVET	N15	819802
SVET	N13	364485
SVET	N14	94546
SVET	M01	892885
SVET	M02	633452
SVET	M03	188775
SVET	M04	340585
SVET	M05	330799
SVET	N08	390084
SVET	W06	5938108
SVET	W03	2556894
SVET	W02	559915
SVET	W05	216154
SVET	Q16	51032
SVET	Q12	91276
SVET	N16	43733
